,text,cluster
0,"Critics say that children have to be protected from this ""bad world"" to enjoy their childhood and develope in the best way.",0
1,"I think comercials for children should be limited, and controlled.",0
2,"In my opion it is very important that children are protected from adversiting, because they are so easy to influence and probably believe the things that are said, even though they are not true.",0
3,"This means that children are manipulated more and more often, and in my opinion that should not be allowed.",0
4,"In my opinion, people should not have the urge to protect children from everything.",0
5,"There are some good points, but also many bad ones for the children.",0
6,"There is the question, how far we are gonig to go, to protect our children.",0
7,"Someone may take this to an extreme and say that kids' childish natures are being abused, which is highly questionable from a moralic point of view.",0
8,"In my opinion, television advertising directed toward young children should be allowed but the parents shouldn't let their children whatch TV too often because it's very important for their health and social life that they also do other things, for example play with their friends.",1
9,All in all I wouldn't allowed advertising in Tv for young children becouse of the strong aspects meanshen earlyer.,1
10,"On the one hand, television advertising directed toward young children should not be allowed because it's unhealthy for them to whatch television too often since that could cause that they don't move enough.",1
11,"So in my opinion television advertising directed toward young children in the age of two to five should not be allowed, because in this age children started making their first social contacts, which is very impotant for their growing up.",1
12,In my oppinion it is not good for young children to watch television advertising directed toward young children.,1
13,So I would say that television advertising toward young children should not be forbidden but the parents might know that they have to control the TV activity of their children.,1
14,All in all I would say that I donÂ´t agree with the statement that television advertising directed toward young children should not be allowed because I think that there is nothing to worry about if  little children come in contact with television advertisements.,1
15,So i would say that television advertising designed for young children is probably a bad thing for their parents money bag but should be allowed still for the reason that adverts for children most of the time don't want to steal your money and just want to show the product like every advert for an other product also does.,1
16,"Summarising all points I can conclude that television advertising directed toward young children should not be allowed, because of the negative impact this could have on their development and because of them being not reasonable enough to make their own decisions and to realise whether something is good or bad",1
17,"At my own opinion I will say, that television advertising for young children can be allowed, but it is not nessecary, because they do not watch much films .",1
18,"This is sad and depressing, isn`t ist?",2
19,That these little persons are influenced by such advertisement is a sad fact.,2
20,There is oral propaganda too.,2
21,"One cannot forget though, that children aged two to five may not have a sense for rational thinking or are conscious about money's worth at all, so they might see some completely useless and easily breakable item on TV, which they then want to have for christmas.",3
22,"Furthermore young children believe what they hear or what they see, so the advertisment could have negative effets on the children.",4
23,But there are many problems if children see advertisments which are focused on them.,4
24,On the one hand young children have to learn how to deal with advertising.,4
25,Advertising addressed to young children can create both a passion for life and a bad habit negatively incluencing one's life.,4
26,On the one hand a confrontation with this kind of advertising could be bad on the other hand children can only learn from it if they are confronted with it and learn to spectate advertising from other perspectives.,4
27,"The promblem with advertisement, which is directet to children, is that it does not aim for a better futer.",4
28,"Even though young children have contact with advertisment every day, advertisment directed to them would have a bigger impact on them and their behavior.",4
29,But there are also some reasons for advertisements towars young children.,4
30,That`s why there is the problem of advertisements directed toward little children in the age from two to five.,4
31,"Advertisement for children does not have to be a bad thing, it can be used to influence them so that their behaviour will have a positive effekt on society and nature.",4
32,"For sure, children are manipulated by exciting advertisements and are used to make their parents buy these products, but if parents are upset with that, they shouldn't allow their child to be manipulated.",5
33,"Even though they might get the product, advertising is not all about reality and the child might get disappointed.",5
34,"The children have to learn, that not everinthing is like it looks in the advert.",5
35,"The companies actually manipulate the children because especially the younger ones, aged two to five, can't decide whether it is something they really need or if it was simply shown in an advertisement.",5
36,"On the other hand children are learning very much in this part of life, so the advertisment gives them the chance to make up their own mind about some products.",5
37,"Even if the child really wants the product that was advertised on TV, the decisions if it's bought or not will be made by the parents.",5
38,One stong arguement againt advertising towards young children is that they don't realise this manipulation.,5
39,If those young children see advertising for the necessary or the right stuff it might be usefull that they watch this advertising.,5
40,"Even on such a young age they can also make their own experiences with consum.It could be a way for them to experience that advertising is not always the truth.In my opinion it would be good, if children learn the difference between what they are told as a (Zielperson) ,and what things are realy like,on a young age.",5
41,One reason for this is that young children don't have the experience to see if a product of their favour is useful or useless for them.,5
42,Another aspect is that children believe in everything what they see.,6
43,"The children believe every word and can get a wrong image   of what is realy important in life, because they do not have any experiences like that yet.",6
44,So they believe in wrong things and regard lies as true.,6
45,For example that little girls could think that unicorns and elves are real because they saw that in TV.,6
46,"But it is normal for kids to believe in things that aren't real, like princesses or fairytales.",6
47,"As many smaller childreen (aged two to five) believe in evrerthing they hear or see because they are not able to bild their own opinion yet, they are a popular victim of advertising companies.",6
48,"At his age children can not decide what is good and what is bad, so if their hear for example: war is good, they maybe think this is true.",6
49,They believe almost everything.,6
50,"If you tell a child that Santa Clause exists, it will believe.",6
51,I would say that television advertising should not be allowed on channels for children and for children in general.,7
52,I think this is something that can be as good as bad.,8
53," For the question, if the advertising directed toward young children shoul not be allowed, you can think on some opinions for and against it.",9
54,"May one can say that advertising directed toward young children should be allowed, because it is allowed to be directed toward everyone in every age.",9
55,"So I think advertisement for children sould not be allowed, when it is affecting them in a negative way and sets them under a bad influence.",9
56,So I think advertisement towards young children should be allowed.,9
57,"All in all, television advertising directed toward young children should not be allowed in my opinion.",9
58,The question is if this advertising should be forbidden because of the influence that it could take on young children.,9
59,In my opinion advertising toward young children shouln't be allowed.,9
60,"All in all, adverts for children aged from two to five shouldn't be allowed because of their negative effects on the children.",9
61,"To conclude, I think, these advertisements should not be allowed, because for the children, there is no benefit.",9
62,"Theres another argument against advertisements towards young children: Imagine, you`re a children at age two to five.",9
63,"But they should keep in mind that if they don't watch it between the ages of 2 and 5, they might watch it after that, and for sure parents can't keep an eye on everything their children see; the modern world is just too full of that, not even on tv but also at the streets, radio or newspapers.",10
64,That is why parents always should pay attention about what they are watching.,10
65,Every parent should decide if he lets his child watching things  which can be dangerous for the development of his own child.,10
66,That's why parents have to keep an eye on their children during their watching period.,10
67,That's another point: Many parents don't care about what their child actually watch.,10
68,If parents don't watch over them they don't stop watching the TV.,10
69,"Another reasons is that they would not even unterstand everything, so it is not important if they watch it or do not.",10
70,"As technoglogy evolves more and more product selling companies find more ways to advertise their products and trick people into believing they need those products, this being achieved by making use of several psychological tricks and methods.",11
71,"For example a young boy who maybe already has a lot of cars sees advertisment on a new one, the advertisment tells him that this car is way better then all others - the boy will probably believe that and will feel the need to get this car.",11
72,I would understand if someone says that there is no differance between advertation and manipulation.,11
73,"As for the previous example with toys: if a false picture of the toy is portraied, to bait consumers into buying, that is obviously not the right way to do it.",11
74,For example that not everything what is said in advertsings is right or usefull.,11
75,As a consequence they need to agree with the advertising or at least to believe it is true.,11
76,Advertisment can be developed in a way that may have a hidden influence on their opinion later.,11
77,"They will believe everything they are told and by that are easy to manipulate, so that they want to buy all the products the commercial is showing.",11
78,But advertisement also creates a wrong image of reality.,11
79,"This can be used effectively by television advertisements, which portray them a false picture of reality, causing children to ask their parents for things they don't actually need.",11
80,But on the other hand the parents are still deciding what they are going buy and if they are letting them watch television at all and in the most cases the children have to accept their decision.,12
81,But one the other hand the parents still have to decide what they are going to buy and even if they are letting them watch television.,12
82,"So I think, that the parents have to chose if there children are allowed to have a Television.",12
83,"On the other hand we could say that it is part of the parentÂ´s job to decide if and what their children watch in the TV, to give them the right values.",12
84,But we can decide wich shows and programs our child should watch.,12
85,"Young Children should not watch too much television anyways, so the parents have to control what their children watch.",12
86,"so in some famylies they get the new toys as quick as they publish them but some parends would say no and then, because of this normality of violence showen in TV, the children start to behave the same and not just at home but also in the kindergarden and at their friends homes.",13
87,But it can be useful if young children have no idea for birthday or chrismas.,14
88,The kids might be sad if their parents decide not to give these items to them.,14
89,"On the other hand, if the kids stay nice and quiet, they might have the chance to get the thing they want for christmas.",14
90,"One cannot forget though, that children aged two to five may not have a sense for rational thinking or are conscious about money's worth at all, so they might see some completely useless and easily breakable item on TV, which they then want to have for christmas.",14
91,Some parents will maybe buy the toys and then do not have enough money left for other things.,14
92,"They will then ask their parent to buy it, but a lot of parents cannot spend as much money at toys even if they want to.",14
93,"Especially around christmas are toys advertised very much, because the people need presents for their families and friends and when a child see toys and books and computer games everywhere it's not surprising that asks it's parents for more than one christmas present.",14
94,E. g. for present for the birthday or christmas.,14
95,"The following text is an essay about the statement ""Television advertising directed toward young children (aged two to five) should not be allowed."".",15
96,This essay is about the topic if television advertising directed toward young children should be allowed or not.,15
97,In the following text I will discuss the question if television advertising directed towards young children should be allowed or not.,15
98,In the following text I am going to write a discussion about the statement if television advertising directed towards young children (aged two to five) should not be allowed.,15
99,"In the following text i will discuss if ""Television advertising directed toward young children(aged two to five) should not be allowed""
General Television advertising influence of course all of the people,also young people,because the advertise is always shown in a perfect way without faults, because they want that everybody will buy the product,so therefore they will earn a lot of money.When young people see something very special for them on the television, they tell their parents that they want it, but they only want it, because it was shown so perfect and not because they tried it.",15
100,The following essay deals with the topic of allowing television advertising for young children from age two to five.,15
101,The following text discusses the statement if television advertising directed toward young children in the age of two to five should be allowed or not.,15
102,"I will talk about the statement ""Television advertising directed toward young children (aged two to five)should not be allowed"", in the following essay.",15
103,"In the following essay i will show negativ reasons and examples for the statement "" Television advertising directed toward young children should not be allowed"".",15
104,"A argument on the statement ""Television advertising directed toward young children (aged two to five) should not be allowed"".",15
105,They need influences of their parents and of other kids.,16
106,In the modern world many children grow up with a lot of technical devices.,17
107,"In our generation it is normal that children have a mobile phone and a ""I pad"" or something like this.",17
108,And in our society it is not unusal to play with smartphones even at an young age.,17
109,"Children get a phone earlier every generation, and with that they have the connection to everything that is out there.",17
110,but is it ok to give that high technology devices to children aged two to five?,17
111,Young children get up with new smartphones or other things.,17
112,"If parents are trusting and caring with the fact that their kids use a technological product and a thing that can make ""abhÃ¤ngig""(?",17
113,"They want to use computers, smartphones and tablets etc.",17
114,Did young children bacame addicted to modern technic?,17
115,The children in the age two to five get up too with the new technoligy.,17
116,"The statement, that televisions should not be allowed to young children between two and five years is sometimes correct.",18
117,Television should not be allowed for young children because they would see pictures they don't understand and which are not made for young childs.,18
118,"Children shouldnÂ´t watch tv often in that age, thatÂ´s clearly.",18
119,"I agree with the statement, that television should not be allowed toward young children.",18
120,Also children in young years should not watch television too much.,18
121,In my view young children aged two to five should may watch television but it have to be regulatged by the parents.,18
122,Also I think that children who are at the age of two to five shouldnÂ´t be allowed to watch tv because itÂ´s not good for their eyes.,18
123,"First, television is not good for young children, and many of these young children aren`t even allowed to watch TV.",18
124,"On the other hand, chidren aged two to five should generally not be allowed to watch television regularly.",18
125,i think children from 1 to 5 shouldnt watch television at all.,18
126,"Furthermore, the parents have to have an eye on their children if they watch TV.",19
127,The parents have to keep an eye on their children to protect them against too much television advertising and television consume.,19
128,"Young Children should not watch too much television anyways, so the parents have to control what their children watch.",19
129,If parents don't watch over them they don't stop watching the TV.,19
130,I think that the channels should not be too influenced by that and that the always have to keep an eye on their children to prevent them from seeing something bad.,19
131,Finally also the parents should keep an eye on their very young children so they do not spend all their time watching TV because TV itself is not very good for them either.,19
132,Then  the parents are in the situation to forbid their children something the television says they are allowed to get.,19
133,"I think that the parents should make a rule that says how long their children are allowed to whatch TV and what they are allowed to whatch, for instance half an hour a day and just the programm that's especially for childrem so that it can't happen that the parents sit their children in front of the TV so that they don't have to care about them.",19
134,The parents should care about the time their child is sitting in front of a TV and if the child is watching something that is meant to be for his age.,19
135,I'm sure that parents who know the consequences are able to say when their children have to stop watching TV.,19
136,"There are ads for toys, kids food and the newest sport articles.",20
137,It also depends on which ads are showed.,20
138,"Every time we turn on the television we can watch a lot of interesting films, but also a lot of advertisments.",20
139,"Even when the television is turned of, there are enough adverts in kids magazines or on big posters wich are hung up all over the place.",20
140,"
Advertises are often shown in the TV.",20
141,"Nowdays, advertising is a normal part of the television.",20
142,On the other side it could be an advantage for the children to wtach TV even at a so young age.,21
143,"But it is not good for the children, to just sit in front of a TV and watch channels.",21
144,My second reason is that this kids should not grow up with a television because if they look tv at the begin of their lives they could focus their future to look fluently and hours after hours tv and so they would  not focus on there future work lives.,21
145,So responsibl parents shold act in a way not let their children whatch all of this ''junk'' TV.,21
146,Otherwise young children can learn many things just with watching TV.,21
147,Television is a too important factor of the life of a young children.,21
148,"I totally agree to this statement, because it could bring the young children to much to the television and could them let forget to play outside.",21
149,But in case that the children watch TV nearly all day it could be helpful for later.,21
150,"First, television is not good for young children, and many of these young children aren`t even allowed to watch TV.",21
151,"Young children are very influenced by everything,which they see and hear, so the television can be dangerous or bad for them, but it can be allowed to cut them from the medias, but itÂ´s not the right way, I think.",21
152,Second i will write arguments for the statement.,22
153,"In the following, the statement will be evaluated.",22
154,First i will write the argument against the statement.,22
155,Now i will count on some arguments for the statement.,22
156,With this statement the following text is occupied.,22
157,The following text is about the named statement.,22
158,In the following I will discuss this statement.,22
159,In  the following text I am going to name reasons for and against this statement and show my own opinion.,23
160,My opinion to that statement is divided.,23
161,In my opinion i agree with this statement because off some understandabel reasons and examples.,23
162,In the following I will present my opinion on this topic.,23
163,In the following I will discuss this statement.,23
164,In my opionion there are two sides to this statement.,23
165,But I think everybody have to think about that statement on his own to have an own opinion about it.,23
166,All in all I donÂ´t really agree or disagree with the statement.,23
167,All in all I donÂ´t really agree or disagree with the statement.,24
168,"So all in all, I agree at some parts with the statement, but not at all.",24
169,But in my opinion I have to say that I do agree with the statement above.,24
170,All together i would agree with this statement.,24
171,Finally I agree with the statement.,24
172,For this reason I disagree with the statement.,24
173,In my opinion i agree with this statement because off some understandabel reasons and examples.,24
174,"Finally I can say that I do not agree with the given statement, bacause if you forbit something it bacomes more interesting.",24
175,In the end I can only say that television is a big part of our lifes now a days and that children in the age 2-5 must be allowed to interfier with that.,25
176,I think it's okay if children want to watch television.,25
177,"Television directed toward young people should  be allowed but the children should watch tv not so often like adults, because they have not enough concentration to watch an hour a day.",25
178,In my view young children aged two to five should may watch television but it have to be regulatged by the parents.,25
179,"In the end, I'd like to say that young children should be allowed to whatch TV because it can be interesting for them and they can learn something.",25
180,All in all in think it should be allowed for young-aged children to watch TV but parents have to take look if it's not too long or what movie is on the TV.,25
181,All in all I'd say it's okay if children are allowed to watch TV.,25
182,"But according to the specific statement from the adversiting i say no it should be allowed, because if the parent regulate the TV usage of there children right it has allot of advantages for there further live.",25
183,Television should not be allowed for young children because they would see pictures they don't understand and which are not made for young childs.,25
184,"All in one I think it`s okay, that children watch tv in a small part of time, if they don`t forget to do important things for school and playing outside with their friends.",25
185,Moreover the parents are responsible for teaching some things to their kids.,26
186,"Parents should make sure that their children grows up with things, which are important fot theier future.",26
187,Another important thing is the knowledge of the children.,26
188,Furthermore the parents could prepare their kids.,26
189,The only important point is the behaviour of the parents toward the children.,26
190,"A solution can be, that the parents of the children have to handle right with this topic, because itÂ´s important for their children and their developement.",26
191,I think it is important that you as a parent support the devolpment of your child.,26
192,"The position of parents is so important for children, because they learn from them and act like them.",26
193,It is the best way to prepare kids for the future.,26
194,"I think, that it is really important for a children to have a good relation to their mother and father.",26
195,"However the television can be nessecary, because some kids have an evening routine in which they watch one serie of their favourite movie 
and afterwards they go better to sleep.",27
196,Nowerdays childreen spend lots of their time watching television.,27
197,"Additionally they need the time to play outside and experiance the world and they can't do that because the TV is always more interrestic for young children, it' normal.",27
198,Also one has to add that young children aged two to five normally do not watch TV that often.,27
199,"All in one I think it`s okay, that children watch tv in a small part of time, if they don`t forget to do important things for school and playing outside with their friends.",27
200,Many children spend too much time on watching TV.,27
201,"First, television is not good for young children, and many of these young children aren`t even allowed to watch TV.",27
202,"On the other site if children started watching television in their freetime for more than one to two hours a day, they have no time to do other things, like going outsite and playing with friends.",27
203,"In the evening adults often watch tv and if the children are not going to bed so early, they are sometimes watching tv with their parents.",27
204,"It is better to show them books with a lot of picures than to let them whatch TV .Young children should also play outside with friends, because they have to learn the difference of the real world and the world that is showed by the medias.",27
205,Television advertising is getting more and more popular in the society.,28
206,Television advertising has a big role in modern society.,28
207,Television advertisement is nowadays used to get the consumer's attention and to attract them to buy a company's products.,28
208,"
Advertises are often shown in the TV.",28
209,"Nowdays, advertising is a normal part of the television.",28
210,In the following text I will inform you about television advertising.,28
211,In the television there are several different ways of advertising for a product or an campaign.,28
212,"On the other side, advertisings are made to interest people and to make them buy the things shown in the television.",28
213,Nowadays advertisments are everywhere and anyone watches TV.,28
214,Television advertising is often directed to certain groups of people.,28
215,"When they do not spend much time with their parents, when they are young it will have aftermath, when they are adults.",29
216,"So that there are also bad influences, what have follows for the future life of these children.",29
217,So they might build themselves wrong values which stay their whole lives in their head and behaviour.,29
218,"They will also not have a good relation to their parents, because they did not spend much time with them, when they were young.",29
219,It stress the parents and it could destroy the entership between the family and friends.,29
220,The reason is that they are in contact with others and that's better for their future.,29
221,"When they go to school, they will possibly be a misfit, beacause they did not learn, how to make friends and be social.",29
222,They create wrong needs and slow down the psychological development.,29
223,They need influences of their parents and of other kids.,29
224,"The other children will not learn, how to get friends and to communicate with different people.",29
225,"All in all I can say, that these advertzising spots towards children with two to five years are unnecessary and lean them to do criminal things.",30
226,So young children who aren't grown up at all would be victims of those advertisings.,30
227,"Because these children are usually at a very young age, it is discussed whether to ban these ads or not.",30
228,"To conclude, I think, these advertisements should not be allowed, because for the children, there is no benefit.",30
229,Lastly a possible threat those ads may pose might be that the ads might lead children to believe they had certain abilities which could cause them to unknowingly kill themselves.,30
230,The question is if this advertising should be forbidden because of the influence that it could take on young children.,30
231,For example songs that you will remember even four weeks later or situations out of daily life.,31
232,"On this question is based the following text, which shows advantages and disadvantages  including my personal opinion.",32
233,IÂ´m going to compare advantages and disadvantages.,32
234,In this essay I will show off the advantages and disadvantages of this topic and comment on it.,32
235,In this essay I am going to give some arguments pro and contra this topic.,32
236,"I will start off with the pros, come to the cons after that and give my opion at the end.",32
237,"But as always there are some disadvantages and some advantages, for the children, their parents and those buisneses.",32
238,In the following text I am going to explain some arguments in favour and against the topic to get an answer.,32
239,"As a result I agree with the statement, because there are a lot of disadvantages and only a few advantages.",32
240,In  the following text I am going to name reasons for and against this statement and show my own opinion.,32
241,These advertisements are created and designed for one purpose only: They're supposed to persuade children to want the product bad enough to beg their parents to buy it.,33
242,"The advertisement could also show the children the variety of items and make them understand, that they don't need everything that's shown in the commercials, but I think that they are just too young to judge.",33
243,"The ads are perhaps the best way to get to know new products, and I think the children deserve to sometimes (not always!)",33
244,"On the other hand children are learning very much in this part of life, so the advertisment gives them the chance to make up their own mind about some products.",33
245,"In my opinion the companies hope to reach with that kind of advertising, with cute little children in it, the parents and make them buy that product for their child too or to buy it just because that advertising make them feel in some way.",33
246,"Sure, there are other people who say that thats the concept of advertising but most people do not want to buy some things to their children and experience that they donÂ´t use it or play with it.",33
247,The advertisments are manipulation the children by attract their interesting and showing the product as a great and exciting thing which it needs to have.,33
248,Children should decide themselves what they want and advertising helps them to gain information about the things they could possibly need.,33
249,"Another good thing about the advertising is, that also the parents see them and might find new toys for their kids.",33
250,"Probably the parents don`t go to a toy shop with their kids very often, so an advertisement is a good way to get to know some playing stuff.",33
251,Young children can be influenced easily.,34
252,"First of all it is well-known that little children are heavily influenced by their surroundings, so that they can get manipulated easily as well.",34
253,Young children are very easy to control and to influence.,34
254,Children can also be influenced more easily by different things.,34
255,Young children can be easiliy influenced by everything.,34
256,"At first children, especially at a very young age, are very easy to influence.",34
257,At this age of confusing realizations children can be manipulated very easily.,34
258,"In order to support this statement one could argue and say that due to their childish minds and behaviours kids are much more easily tricked into doing an believing things than adults, making it much easier to make them want to have certain things.",34
259,Children are easy to manipulate and if they want something really bad they often get it because their parents can not stand their cute child.,34
260,On the other hand children of this age have a high level of influence.,34
261,"If that is not enough reason, one could also claim that companies should have the right to advertise.",35
262,"So should, as a consequence, this advertising be forbidden?",35
263,"So all in all i say, that some kinds of advertisment should be not allowed.",35
264,There are different reasons either supporting this advertising or not.,35
265,Besides they are confronted with advertising anyways for example in the supermarket or the streets or magazines.,35
266,There are some people who say that this kind of advertising should not be allowed.,35
267,Besides they do not care about the advertising and would not understand the background reasons for it.,35
268,"In addition to that, there is the question wether showing advertising and influence them is moralic right or not.",35
269,The next argument against advertising is that the companies who make these ads should not use the not-knowing of the children to make more money.,35
270,I can agree with the people who are saying that this kind of advertising should be forbidden.,35
271,Forthermore the childrens often dont need the object.,36
272,"On the other hand, if the parents take care of them and pay attention, the children will not get any problems, but they will have fun with their new toy or other things.",36
273,After a while the child will fill its room with things it does not play with anymore and does not need it.,36
274,"Children want to have many things they see, even more when they are looking exciting and interesting and many parents want to give them what they want to make them happy or just to stop them being annoying and exhausting.",36
275,That might be not as bad at the first view but when the child grows older it is going to want a more adult room and then has to throw a lot of toys away or has to donate or sell it if possible.,36
276,"It leads to different behavior of your childreen, as they want more and more because they get to see the newest and hottest toys erveryday, that is why soner or later nothing will be good enough for them anymore.",36
277,"If they always want more toys, the parents maybe will follow their wishes to make their children happy and make these wishes come true, which can lead to the missing abilities mentioned before.",36
278,One reason for this is that young children don't have the experience to see if a product of their favour is useful or useless for them.,36
279,"That is a problem because parents do not want unhappy childreen and then they have to say to their child, he would not get the toy.",36
280,"Children also can't judge if something isn't worth the money it costs, that's why they would want to have the item no matter what, and the parents have to deal with the crying children if they can't afford a new toy for them.",36
281,Children in these years are in an important part of  their life.,37
282,"In this young age, children learn very much and get influenced by many things in their life.",37
283,On the other hand children of this age have a high level of influence.,37
284,For children the ages two to five are the most important year of development.,37
285,The age of two to five is the most important time of the life of a children because they learn so much about the life and deleope in a fast time.,37
286,"Children of the age from two to five are the future of the human society, which means that they are the ones that will determ the things that will be bought, in the future, and the standards that will define our future society.",37
287,The brain of children in this age is not so developed like a brain of an youth or an adult.,37
288,Many young children are not really recognised by their parents.,37
289,Moreover the parents are responsible for teaching some things to their kids.,37
290,Children can also be influenced more easily by different things.,37
291,They can learn about the right and the wrong.,38
292,They learn speaking and walking and a lot of other important things.,38
293,An example is that they learn to treat the other children in the kindergarten better or learn to say different words.,38
294,They learn things from them like how to behave in some situations.,38
295,They will quicker learn new things.,38
296,Beside they learn the rules of their parents and they know in which their are allowed to something and what it isn't allowed to do.,38
297,If they don't learn that early they may have problems with it later.,38
298,"One can't really tell them what to do ore not, they will experience this themselves.",39
299,Otherwise it could have a negative influence on they,39
300,"If they don't learn this, they could have problems in their life.",39
301,So they might build themselves wrong values which stay their whole lives in their head and behaviour.,39
302,"And even if it makes them cry, it will form their character.",39
303,But on the other hand they are just kids and so they would be totally influenced by this.,39
304,If they don't learn that early they may have problems with it later.,39
305,"But when they donÂ´t do this, their children start crying and behave absolutly stupid.",39
306,"They might even become angry at them, throwing a tantrum if they want something really bad.",39
307,In this age they are  already able to show us what they want.,39
308,"And it helps parents to confirm their young children to turn the TV off, because there will be a five minute break full of advertising, which is boring to see, anyway.",40
309,It makes watching the channel way better and the kids are not confronted with the breaks for advertisement.,40
310,"So if their parents are sitting right beside them and are also looking at the stuff their children watch, the tv can be switched off when an ad comes and parents can protect the kids from unsuitable content or advertising.",40
311,"If they don't get the object, they start to cry or they are sad about the desission of their parents.",41
312,"They might even become angry at them, throwing a tantrum if they want something really bad.",41
313,"A situation for example for this is when a child is sad because another child took his car for playing away, so the kid is really sad and donÂ´t know what he could do.",41
314,"In reallife the kid who is sad, because he want his car back, knows that he can hurt the other one to get his car.",41
315,They could get bad dreams about scary things they watch or develop a fear all of the sudden.,41
316,"And if they parents don't look up details about that item and just trust their child because it makes it happy, the child might end up with a broken toy, which will make them even more sad.",41
317,You have to think how little children feel aswell but not many persons do that.,41
318,"Exspecially if a mother thinks, that she can't make her daughter happy because of not buying a doll she saw while watching television advertising.",41
319,The children get irritated and don't know how to react.,41
320,"When they do not spend much time with their parents, when they are young it will have aftermath, when they are adults.",41
321,The development in this young age is very importent.,42
322,The developement of a child in this age is,42
323,"First, television is not good for young children, and many of these young children aren`t even allowed to watch TV.",43
324,"Young children are very influenced by everything,which they see and hear, so the television can be dangerous or bad for them, but it can be allowed to cut them from the medias, but itÂ´s not the right way, I think.",43
325,Television is a too important factor of the life of a young children.,43
326,It is not good when young children watch too much television.,43
